Disease,Specialization
(vertigo) Paroymsal  Positional Vertigo,ENT Specialist
AIDS,General Physician
Acne,Dermatologist
Alcoholic hepatitis,General Physician
Allergy,General Physician
Arthritis,Orthopedist
Bronchial Asthma,Pulmonologist
Cervical spondylosis,Orthopedist
Chicken pox,General Physician
Chronic cholestasis,General Physician
Common Cold,General Physician
Dengue,General Physician
Diabetes,Endocrinologist
Dimorphic hemmorhoids(piles),General Surgeon
Drug Reaction,Dermatologist
Fungal infection,Dermatologist
GERD,General Physician
Gastroenteritis,General Physician
Heart attack,Cardiologist
Hepatitis B,General Physician
Hepatitis C,General Physician
Hepatitis D,General Physician
Hepatitis E,General Physician
Hypertension,Cardiologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Hypothyroidism,Endocrinologist
Impetigo,Dermatologist
Jaundice,General Physician
Malaria,General Physician
Migraine,Neurologist
Osteoarthristis,Orthopedist
Paralysis (brain hemorrhage),Neurologist
Peptic ulcer diseae,General Physician
Pneumonia,Pulmonologist
Psoriasis,Dermatologist
Tuberculosis,Pulmonologist
Typhoid,General Physician
Urinary tract infection,Urologist
Varicose veins,General Surgeon
hepatitis A,General Physician
